wavelength,x,y,z
703.4042553191489,740.0,0.0006900786,0.0002492
704.2553191489362,741.0,0.0006405156,0.0002313019
705.1063829787233,742.0,0.0005945021,0.0002146856
705.9574468085107,743.0,0.0005518646,0.0001992884
706.8085106382979,744.0,0.000512429,0.0001850475
707.6595744680851,745.0,0.0004760213,0.0001719
708.5106382978723,746.0,0.0004424536,0.0001597781
709.3617021276596,747.0,0.0004115117,0.0001486044
710.2127659574469,748.0,0.0003829814,0.0001383016
711.063829787234,749.0,0.0003566491,0.0001287925
711.9148936170213,750.0,0.0003323011,0.00012
712.7659574468084,751.0,0.0003097586,0.0001118595
713.6170212765958,752.0,0.0002888871,0.0001043224
714.468085106383,753.0,0.0002695394,9.73356e-05
715.3191489361702,754.0,0.0002515682,9.084587e-05
716.1702127659574,755.0,0.0002348261,8.48e-05
717.0212765957447,756.0,0.000219171,7.914667e-05
717.872340425532,757.0,0.0002045258,7.3858e-05
718.7234042553191,758.0,0.0001908405,6.8916e-05
719.5744680851064,759.0,0.0001780654,6.430267e-05
720.4255319148936,760.0,0.0001661505,6e-05
721.2765957446809,761.0,0.0001550236,5.598187e-05
722.1276595744681,762.0,0.0001446219,5.22256e-05
722.9787234042553,763.0,0.0001349098,4.87184e-05
723.8297872340426,764.0,0.000125852,4.544747e-05
724.6808510638298,765.0,0.000117413,4.24e-05
725.531914893617,766.0,0.0001095515,3.956104e-05
726.3829787234042,767.0,0.0001022245,3.691512e-05
727.2340425531916,768.0,9.539445e-05,3.444868e-05
728.0851063829787,769.0,8.90239e-05,3.214816e-05
728.936170212766,770.0,8.307527e-05,3e-05
729.7872340425531,771.0,7.751269e-05,2.799125e-05
730.6382978723404,772.0,7.231304e-05,2.611356e-05
731.4893617021277,773.0,6.745778e-05,2.436024e-05
732.3404255319149,774.0,6.292844e-05,2.272461e-05
733.1914893617021,775.0,5.870652e-05,2.12e-05
734.0425531914893,776.0,5.477028e-05,1.977855e-05
734.8936170212767,777.0,5.109918e-05,1.845285e-05
735.7446808510638,778.0,4.767654e-05,1.721687e-05
736.5957446808511,779.0,4.448567e-05,1.606459e-05
737.4468085106382,780.0,4.150994e-05,1.499e-05
738.2978723404256,781.0,3.873324e-05,1.398728e-05
739.1489361702128,782.0,3.614203e-05,1.305155e-05
740.0,783.0,3.372352e-05,1.217818e-05
740.8510638297872,784.0,3.146487e-05,1.136254e-05
741.7021276595744,785.0,2.935326e-05,1.06e-05
742.5531914893618,786.0,2.737573e-05,9.885877e-06
743.4042553191489,787.0,2.552433e-05,9.217304e-06
744.2553191489362,788.0,2.379376e-05,8.592362e-06
745.1063829787233,789.0,2.21787e-05,8.009133e-06
745.9574468085107,790.0,2.067383e-05,7.4657e-06
746.8085106382979,791.0,1.927226e-05,6.959567e-06
747.6595744680851,792.0,1.79664e-05,6.487995e-06
748.5106382978723,793.0,1.674991e-05,6.048699e-06
749.3617021276596,794.0,1.561648e-05,5.639396e-06
750.2127659574469,795.0,1.455977e-05,5.2578e-06
751.063829787234,796.0,1.357387e-05,4.901771e-06
751.9148936170213,797.0,1.265436e-05,4.56972e-06
752.7659574468084,798.0,1.179723e-05,4.260194e-06
753.6170212765958,799.0,1.099844e-05,3.971739e-06
754.468085106383,800.0,1.025398e-05,3.7029e-06
755.3191489361702,801.0,9.559646e-06,3.452163e-06
756.1702127659574,802.0,8.912044e-06,3.218302e-06
757.0212765957447,803.0,8.308358e-06,3.0003e-06
757.872340425532,804.0,7.745769e-06,2.797139e-06
758.7234042553191,805.0,7.221456e-06,2.6078e-06
759.5744680851064,806.0,6.732475e-06,2.43122e-06
760.4255319148936,807.0,6.276423e-06,2.266531e-06
761.2765957446809,808.0,5.851304e-06,2.113013e-06
762.1276595744681,809.0,5.455118e-06,1.969943e-06
762.9787234042553,810.0,5.085868e-06,1.8366e-06
763.8297872340426,811.0,4.741466e-06,1.71223e-06
764.6808510638298,812.0,4.420236e-06,1.596228e-06
765.531914893617,813.0,4.120783e-06,1.48809e-06
766.3829787234042,814.0,3.841716e-06,1.387314e-06
767.2340425531916,815.0,3.581652e-06,1.2934e-06
768.0851063829787,816.0,3.339127e-06,1.20582e-06
768.936170212766,817.0,3.112949e-06,1.124143e-06
769.7872340425532,818.0,2.902121e-06,1.048009e-06
770.6382978723404,819.0,2.705645e-06,9.77058e-07
771.4893617021277,820.0,2.522525e-06,9.1093e-07
772.3404255319149,821.0,2.351726e-06,8.49251e-07
773.1914893617021,822.0,2.192415e-06,7.91721e-07
774.0425531914893,823.0,2.043902e-06,7.3809e-07
774.8936170212767,824.0,1.905497e-06,6.8811e-07
775.7446808510638,825.0,1.776509e-06,6.4153e-07
776.5957446808511,826.0,1.656215e-06,5.9809e-07
777.4468085106382,827.0,1.544022e-06,5.57575e-07
778.2978723404256,828.0,1.43944e-06,5.19808e-07
779.1489361702128,829.0,1.341977e-06,4.84612e-07
780.0,830.0,1.251141e-06,4.5181e-07
